preferredLabel,altLabels,skillType
cultivate crops for biomass,"growing crops for bio-mass
crop cultivating for biomass
crop growing for biomass
cultivate crops for bio-mass
cultivating crops for biomass
crops growing for bio-mass
crop growing for bio-mass
grow crops for biomass
crops cultivating for biomass
grow crops for bio-mass
growing crops for biomass
crop cultivating for bio-mass
crops growing for biomass
cultivate crops for biomass
crops cultivating for bio-mass
cultivating crops for bio-mass",skill/competence
use experience map,"use experience map
experience map",skill/competence
protection from natural elements,"protection from natural elements
defence against natural elements
protection from the elements
shelter from natural elements",knowledge
general principles of food law,"general principles of food legislation
general principles of food regulation
general principles of food statutes
general principles of food law
general principles of food laws
food law general principles
general principle of food law
general principles of food rule",knowledge
manage technical aspects of vineyard production,"manage technical aspects of vineyard production
technical aspects of vineyard production process managing
managing technical aspects of vineyard production process
control technical aspects of vineyard production process
technical aspects of vineyard production process controlling
manage technical aspects of vineyard production process
control technical aspects of vineyard production
managing technical aspects of vineyard production
controlling technical aspects of vineyard production process
controlling technical aspects of vineyard production
technical aspects of vineyard production controlling
technical aspects of vineyard production managing
technical aspects of vineyard production
technical aspects of vineyard production process",skill/competence
balance hydraulics of hot water systems,hydraulics balancing,skill/competence
use a water-fed pole system,"use water-fed pole systems
use a water fed pole system
use a water-fed pole system
using a water-fed pole system
operate a water-fed pole system
employ a water-fed pole system
water-fed pole system
water fed pole system",skill/competence
manage sport facility finances,"handle sport facility finances
managing sport facility finances
maintain sport facility finances
manage sport facility finances
oversee sport facility finances
manage sport facility finance
sport facility finances
sport facility finance",skill/competence
identify information needs of young people,information needs of young people,skill/competence
mergers and acquisitions,"mergers and acquisitions
acquisitions and mergers
transferring ownership or combining businesses
transferring ownership or combining companies",knowledge
manage government-funded programmes,"oversee state-funded programmes
administer state-funded programmes
administer government-funded programmes
maintain state-funded programmes
supervise  government-funded programmes
oversee  government-funded programmes
manage government-funded programs
supervise state-funded programmes
maintain  government-funded programmes
government-funded programmes
state-funded programmes
government-funded programs",skill/competence
horse racing regulation,"horse race regulation
horse racing managing
horse racing regulation
horse racing regulations
regulations for horse racing
horse racing monitoring
horse racing policing",knowledge
captioning software,"captioning software
caption software
captioning plugin
captioning program",knowledge
place orders for clothing merchandise,"placing an order for clothing merchandise
arrange orders for clothing merchandise
send orders for clothing merchandise
place orders for clothing merchandise
place an order for clothing merchandise
calculate orders for clothing merchandise
estimate orders for clothing merchandise
placing orders for clothing merchandise",skill/competence
operate tissue sheet binder,"operate tissue sheet binder
operating tissue sheet binder
run tissue sheet binder
handle tissue sheet binder
control tissue sheet binder
use tissue sheet binder
operate tissue sheet binders
activate tissue sheet binder
tissue sheet binder
tissue sheet binders",skill/competence
provide medicines information,"advise on medicines
provide medicines information
inform on medicines
provide medicines education
provide medicines advice
medicines education
medicines advice",skill/competence
cooperate with education professionals,"collaborate with training professionals
work with training professionals
collaborate with education professionals
cooperate with education professionals
participate with training professionals
work with education professionals
participate with education professionals",skill/competence
insert semen,"animal inseminating
artificially inseminating animals
animal semen inserting
inseminate animals
inseminating animals
artificially inseminate animals
insert animal semen
animal inseminating artificially
insert semen
semen inserting
inserting animal semen",skill/competence
technical equipment for crop production,"servicing requirements for technical installations, equipment and machines for crop production
maintenance regime for technical installations, equipment and machines for crop production
maintenance regime for technical equipment for crop production
technical equipment for crop production
methods of adjusting technical equipment for crop production
methods of adjusting technical installations, equipment and machines for crop production
servicing requirements for technical equipment for crop production",knowledge
operate warehouse materials,"undertake warehouse materials
operating warehouse materials
run warehouse materials
conduct warehouse materials
operate warehouse material
operate warehouse materials
operation of warehouse materials
perform warehouse materials
warehouse materials
warehouse material",skill/competence
normalise data,"prepare data
normalize data
perform data pre-processing
data pre-processing",skill/competence
interact verbally in Occitan,"speak Provençal
communicate verbally in Occitan
interact verbally in Occitan
speak Occitan
verbally interact in Occitan
speak Languedoc
be fluent in Occitan
interacting verbally in Occitan",skill/competence
safe use of pesticides,"insure pesticides are used safely
safe pesticides use
safe use of pesticide
safe use of pesticides
safe application of pesticides",knowledge
respond to visitor complaints,"respond to visitor's complaints
responding to visitor complaints
reply to  visitor complaints
answer visitor complaints
respond to visitor complaints
respond to complaints from visitors",skill/competence
interact verbally in Czech,"be fluent in Czech
communicate verbally in Czech
interact verbally in Czech
verbally interact in Czech
speak Czech
interacting verbally in Czech",skill/competence
stock tobacco products' machines,"stock of tobacco products machines with materials
supply tobacco products machines with materials
stock tobacco products machines with material
provide tobacco products machines with materials
stock tobacco products machines with materials
stock tobacco products machinery with materials
furnish tobacco products machines with materials
tobacco products machines with materials",skill/competence
glass tempering,"tempering of glass
heat treating glass
glass tempering
heat treatment of glass
temper glass
glass tempering technique
tempering glass
heat-treat glass",knowledge
electrooptic devices,"kinds of electrooptic devices
lasers
kinds of electro-optic devices
typology of electro-optic devices
typology of electrooptic devices
electrooptic devices
electro-optic devices
electro-optic modulators
types of electro-optic devices
types of electrooptic devices",knowledge
electron beam welding machine parts,"electron beam heating and bonding machine elements
electron beam heating and bonding machine pieces
electron beam welding machine components
electron beam welding machine units
electron beam welding machine pieces
electron beam welding machine elements
electron beam welding machine parts
electron beam heating and bonding machine components
electron beam heating and bonding machine units",knowledge
work in an international environment,"work in an international environment
be employed in an international environment
work in an multicultural environment
work in an internationally
working in an international environment
work in international environments",skill/competence
inspect silo systems,"inspect a silo system
inspect silo systems
check silo systems
inspecting silo systems
detect silo systems
scrutinise silo systems
audit silo systems",skill/competence
display betting information,"display information on betting
display betting information
project betting information
portray betting information
display information on bets",skill/competence
ensure compliance with port regulations,"make sure harbour regulations are followed
enforce port regulations
ensure port regulations are complied with
ensure compliance with harbour regulations
make sure port regulations are followed
ensure harbour regulations are followed
make sure harbour regulations are complied with
apply harbour regulations
ensure compliance with port regulations
apply port regulations
make sure port regulations are complied with
ensure port regulations are followed
enforce compliance with port regulations
sure harbour regulations are followed
port regulations are complied with
sure port regulations are followed
harbour regulations are followed
sure harbour regulations are complied with
sure port regulations are complied with
port regulations are followed",skill/competence
understand written Ukrainian,"understanding written Ukrainian
read Ukrainian
understand Ukrainian writing
comprehend written Ukrainian
understand written Ukrainian
make sense of written Ukrainian
interpret written Ukrainian
sense of written ukrainian",skill/competence
theories of personality,"personality theory
theoretical concepts of personality
personality theories
theories of personality
theory of personality",knowledge
inspect drilling equipment,"drill checking
drilling equipment inspection
inspect drilling equipment
check drills
inspecting drilling equipment
inspection of drilling equipment
inspecting of drilling equipment
checking of drills
checking drills",skill/competence
respect publication formats,"respect formats for publication
comply with publication formats
conform to publication formats
adhere to publication formats
respect publication format
respect publication formats
respecting publication formats",skill/competence
use snow-removal equipment,"utilize snow-removal equipment
use snow-removal equipment
use snow removal equipment
using snow-removal equipment
operate snow-removal equipment
snow-removal equipment
snow removal equipment",skill/competence
create prototype of user experience solutions,"create prototype of user experience solutions
prototype of user experience solutions",skill/competence
wear cleanroom suit,"wearing bunny suit
wear clean room suit
wear bunny suit
wearing clean room suit
cleanroom suit wearing
wear cleanroom suit
wear anti-contamination suit
bunny suit wearing
wearing anti-contamination suit
clean room suit wearing
anti-contamination suit wearing
wearing cleanroom suit",skill/competence
monitor stamp machine,"monitoring stamp machine
monitor stamp machine
oversee stamp machine
monitor a stamp machine
watch stamp machine
view stamp machine
supervise stamp machine
stamp machine",skill/competence
apply system organisational policies,"apply system organizational  policies
system organisational policies
system organizational policies",skill/competence
propose ICT solutions to business problems,"propose technical solutions to business problems
propose ICT solutions to business problems",skill/competence
start up chocolate moulding line,"start up chocolate molding  line
start up of the chocolate moulding lines
begin chocolate moulding line
launch chocolate moulding line
establish chocolate moulding line
construct chocolate moulding line
starting up chocolate moulding line
chocolate moulding line",skill/competence
calculate costs of repair operations,"measure costs of repair operations
calculating costs of repair operations
calculate the costs of repair operations
count costs of repair operations
forecast costs of repair operations
tally costs of repair operations
calculate the cost of repair operations",skill/competence
handle different pottery materials,"manage different materials of pottery
manage different clay and mud recipes
manage different clay or mud recipes
manage different pottery materials
different pottery materials
different materials of pottery
different clay and mud recipes
different clay or mud recipes",skill/competence
interpret scientific data to assess water quality,"assess water quality data
interpret scientific data to assess water quality
analysing scientific data to assess water quality
interpret water quality data
interpreting water quality data
analyse water quality data
assessing water quality data
analyse scientific data to assess water quality
analysing water quality data
scientific data interpreting to assess water quality
scientific data analysing to assess water quality",skill/competence
tolerate strong smells,"abide strong smells
bear strong smells
endure strong smells
tolerate strong smells
accept strong smells
tolerate a strong smells",skill/competence
create sculptures,"create sculpts
create a sculpture
create decorative sculptures
creating sculptures
create sculptures
decorative sculptures",skill/competence
typography,"typographies
typography",knowledge
plan procedures for cargo operations,"design procedures for cargo operations
establish logistical processes for handling cargo
implement logistical procedures for cargo operations
plan cargo operations procedures
prepare procedures for cargo operations
establish logistical procedures for cargo operations
create procedures for cargo operations
establish operational methods for handling cargo
develop procedures for cargo operations
plan procedures for cargo operations
logistical processes for handling cargo
operational methods for handling cargo",skill/competence
tend heated-air tower,"operating heated-air tower
heated-air tower tending
heated-air tower operating
tend heated-air tower
operate heated-air tower
tending heated-air tower
heated-air tower",skill/competence
develop event topics,"developing event topics
list event's featured topics
prepare  topics of interest
develop event topics
develop topics for an event
event topics
topics of interest
topics for an event",skill/competence
mechanical forging press parts,"machine fashioned stamp units
machine fashioned stamp segments
machine fashioned stamp components
mechanical forging press sections
mechanical forging press components
mechanical forging press segments
mechanical forging press units
mechanical forging press parts
machine fashioned stamp sections",knowledge
national population census,"national population census
national population censuses
population census of nation",knowledge
identify physical characteristics of performer,"determine physical characteristics of performer
identifying physical characteristics of performer
define physical characteristics of performer
compile physical characteristics of performer
select physical characteristics of performer
identifying performer’s physical characteristics
identify physical characteristics of performer
physical characteristics of performer
performer’s physical characteristics",skill/competence
manufacture textile floor coverings,"manufacture floor coverings made of textile materials
make textile floor coverings
produce floor coverings made of textiles
make textile floor coverings made of textiles
manufacture floor coverings made of textiles
manufacture textile floor coverings
produce textile floor coverings
textile floor coverings
textile floor coverings made of textiles",skill/competence
tend tunnel kiln,"operating tunnel kiln
tunnel kiln operating
operate tunnel kiln
tending tunnel kiln
tunnel kiln tending
tend tunnel kiln
tunnel kiln",skill/competence
operate follow spots,"use stage lighting instruments
operate following spots
operate spotlights
operate follow spots
operate a follow spot
follow spots
stage lighting instruments
following spots
follow spot",skill/competence
environmental policy,"local environmental policy
local environmental protection policy
international environmental protection policy
national environmental policy
national environmental protection policy
environmental policy
international environmental policy",knowledge
monitor conditions affecting train movement,"perform train operating conditions monitoring
monitor conditions affecting train movement
conduct train operations with an awareness of conditions that influence movement
monitor factors affecting train movement
monitor conditions affecting the movement of trains
ensure factors that affect train movement are accounted for in operations
monitor conditions influencing train movement
ensure conditions that affect train movement are accounted for in operations
monitor factors affecting the movement of trains
perform train operations with an awareness of conditions that affect movement
monitor conditions influencing the movement of trains
conditions affecting train movement
train operating conditions monitoring
train operations with an awareness of conditions that influence movement
factors affecting train movement
conditions affecting the movement of trains
conditions influencing train movement
factors affecting the movement of trains
train operations with an awareness of conditions that affect movement
conditions influencing the movement of trains",skill/competence
operate media integration systems,,skill/competence
cooperate with colleagues,"work together with colleagues
work in cooperation with colleagues
collaborate with colleagues
work in collaboration with co-workers
cooperate with colleagues
work in collaboration with colleague
work collaboratively
work in cooperation with co-workers
collaborate with co-workers
work together with co-workers
cooperate with co-workers
work cooperatively",skill/competence
market trends in sporting equipment,"market trends in sports equipment
market trend in sports equipment
market movements in sporting equipment
market trends in sporting equipment
market trend in sporting equipment
market directions in sporting equipment
market drifts in sporting equipment
market tendencies in sporting equipment",knowledge
focus on passengers,"prioritise passengers
ensure passenger prioritisation
focus on passengers
make passengers a priority
maintain a focus on passengers
ensure passengers are the priority focus
ensure passengers are prioritised
attend to passengers
ensure a focus on passengers
passenger prioritisation
passengers a priority
passengers are the priority focus
passengers are prioritised",skill/competence
accounting department processes,"accounting department processes
accounting processes
accounts department processes
accounting department procedures, accounting department methods
accounting department process",knowledge
perform business research,"conduct business research
do business research
perform business research
performing business research
business research",skill/competence
recognise fake goods,"identify fake goods
recognize fake goods
recognising fake goods
recognizing fake goods
discover fake goods
detect fake goods
fake goods",skill/competence
organise participation in international events,"coordinate participation in international events
organising participation in international events
arrange participation in international events
organisation of participation in international events
organise participation in an international event
set up participation in international events
establish participation in international events
organize participation in international events
participation in international events
participation in an international event",skill/competence
differentiate between maxillofacial tissues,"distinguish maxillofacial tissues
differentiate maxillofacial tissue
differentiate between normal, hard and soft tissue facial tissue
distinguish between maxillofacial tissues
differentiate between maxillofacial tissues",skill/competence
tend swaging machine,"guard cold extrusion
monitor cold extrusion
tend swaging machine
oversee cold extrusion
watch swaging machine
watch forge metal alteration machine
cold extrusion",skill/competence
draw off wash water,"washing water draining
draw off wash water
draw off washing water
wash water draining
drawing off washing water
draining washing water
drawing off wash water
draining wash water
drain wash water
drain washing water",skill/competence
clinical reports,"clinical notes
clinical note
clinical reports
clinical documentation
clinical documentations",knowledge
WizIQ,WizIQ,knowledge
communicate with waste treatment facilities,"coordinate waste treatment activities
communicate with waste treatment facilities
coordinate activities of waste treatment
communicating with treatment facilities for waste
communicating with waste treatment facilities
waste treatment activities coordinating
coordinating activities of waste treatment
communicate with treatment facilities for waste
waste treatment facilities communicating
activities of waste treatment",skill/competence
administer ICT system,"operate system
administer ICT system
administer network and system
administer system
ict system
network and system",skill/competence
prepare leather goods samples,"prepare leather goods prototypes
prepare leather goods samples and prototypes
prepare leatherwear samples
perform leather goods prototyping
perform leather goods sampling
prepare leather products samples
prepare leather goods samples
prepare leather products prototypes
prepare leather products samples and prototypes
prepare leatherwear prototypes
perform leather goods sampling and prototyping
leather goods samples
leather goods prototypes
leather goods samples and prototypes
leatherwear samples
leather goods prototyping
leather goods sampling
leather products samples
leather products prototypes
leather products samples and prototypes
leatherwear prototypes
leather goods sampling and prototyping",skill/competence
understand written Spanish,"understanding written Spanish
read Spanish
understand written Spanish
understand Spanish writing
read Castilian
make sense of written Spanish
interpret written Spanish
comprehend written Spanish
sense of written spanish",skill/competence
understand the physical language of a live performance,"understand the physical language used in live performance
understand physical language expressed during a performance
understand the physical language during a live performance
analyse physical language of a live performance
understand the physical language of a live performance",skill/competence
measure chemical substance viscosity,"using viscosimeter
viscosimeter using
measure chemical substance viscosity
chemical substance viscosity measuring
measuring chemical substance viscosity
use viscosimeter",skill/competence
perform pest control,"pest control undertaking
perform pest control spraying
undertaking pest control
pest control spraying undertaking
performing pest control
performing pest control spraying
undertaking pest control spraying
perform pest control
undertake pest control spraying
undertake pest control
pest control performing
pest control spraying performing
pest control
pest control spraying",skill/competence
represent artistic production,"represent the production of artists
represent the artistic production
represent artistic production
represent artistic company
act on behalf of the production company",skill/competence
prepare site for construction,"prepare site for construction
preparing site for construction
building site preparing
prepare site for building
construction site preparing
preparing site for building
site for construction
site preparing
site for building",skill/competence
stimulate students' independence,"facilitate students' independence
stimulate student’s independence
stimulating students' independence
encourage students' independence
support students' independence
stimulate students' independence
stimulates students' independence
students' independence",skill/competence
provide rigging plans,"providing lifting  plans
provision of rigging plans
rigging plans provision
provision of lifting plans
provide lifting plans
lifting plan provision
providing of rigging plans
providing of lifting plans
lifting plans provision
providing rigging plans
provide rigging plans
rigging plan provision",skill/competence
restrain individuals,"hold back offenders
hold back individuals
supervise offenders
control offenders
handcuff offenders
control individuals
handcuff individuals
supervise individuals
restrain individuals",skill/competence
follow water supply schedule,"follow water supply schedule
following water supply schedule
planning schedule for water supply
planning water supply schedule
water supply schedule following
water supply schedule planning
following schedule for water supply
plan water supply schedule
water supply schedule",skill/competence
teach principles of literature,"educate on principles of literature
teaching principles of literature
teach principles of literature
explain principles of literature
provide instruction on principles of literature
teaches principles of literature
instruction on principles of literature",skill/competence
help clients make decisions during counselling sessions,"encourage clients to make decisions in councelling sessions
encourage clients to make decisions during counselling sessions
help a client make decisions during a counceling session
help clients make a decision during counselling sessions
help clients take decisions during councelling sessions
help clients make decisions during counseling  sessions
help a client make decisions during a councelling session
support clients in decision-making during councelling sessoins
help clients make a decision during counseling sessions
clients in decision-making during councelling sessoins",skill/competence
integrate strategic foundation in daily performance,"incorporate strategic foundation in daily performance
integrate strategic foundation in daily performance
integrating strategic foundation in daily performance
integrate strategic foundation in performance
implement strategic foundation in daily performance",skill/competence
warehouse operations,"operations of warehouses
warehouse operations
warehouse functions
functions of warehouses
principles and practices of warehouse operations
operations in warehouses
warehouse practices
fundamentals of warehouse operations
fundamental principles of warehouse operations
paradigms of warehouse operations
principles of warehouse operations",knowledge
lay marquetry,"laying marquetry
laying of decorative parquet
lay marquetry
lay decorative parquet
laying decorative parquet
decorative parquet laying
marquetry laying
laying of marquetry",skill/competence
ensure compliance with environmental legislation,"lead implementation of environmental policies and legislation
ensuring environmental legislation compliance
ensure compliance with environmental legislation
ensure environmental legislation compliance
ensuring compliance with environmental legislation
checking compliance with environmental laws
ensure compliance with environmental regulations
check compliance with environmental laws
ensuring of compliance with environmental legislation
lead implementation of environmental legislation
compliance with environmental legislation
implementation of environmental policies and legislation
implementation of environmental legislation",skill/competence
aid archive users with their enquiries,"aid archive user with their enquiries
aiding archive users with their enquiries
help archive users with their enquiries
aid archive users with their enquiries
aid archive users with enquiry
assist archive users with their enquiries",skill/competence
mount photovoltaic panels,"photovoltaic panel installation
mounting of PV panels
install PV panels
installing photovoltaic panels
photovoltaic panel mounting
mount PV panels
PV panel mounting
mounting photovoltaic panels
installation of photovoltaic panels
mount photovoltaic panels
mounting of photovoltaic panels
installation of PV panels
PV panel installation",skill/competence
repair firearms,"repairing firearms
repair firearm
make repairs to firearms
fix firearms
repair firearms
repairs to firearms",skill/competence
prepare vehicle trim,"supply vehicle trim
prepare vehicle trim
prepare vehicle trims
arrange vehicle trim
prepare a vehicle trim
preparing a vehicle trim
develop vehicle trim
plan vehicle trim
provide vehicle trim
vehicle trim
vehicle trims",skill/competence
manage research data,,skill/competence
kosher slaughtering practices,"kosher slaughtering practices
kosher slaughtering conventions
kosher slaughtering processes
kosher slaughtering practice
kosher slaughtering methods
kosher slaughtering rituals
kosher slaughter practice
kosher slaughter practices",knowledge
quality prototype of a tobacco leaf,"quality example of a tobacco leaf
tobacco leaf quality prototype
quality prototype of tobacco leaves
quality model of a tobacco leaf
quality mock-up of a tobacco leaf
quality prototype of a tobacco leaf
quality precursor of a tobacco leaf",knowledge
advise customers on preparation of meat products,"advise a customer on preparation of meat products
suggest customers on preparation of meat products
instruct customers on preparation of meat products
help customers on preparation of meat products
advise customers on preparation of meat products
commend customers on preparation of meat products
advise customers on preparation of a meat product
advising customers on preparation of meat products
recommend customers on preparation of meat products",skill/competence
calculate aircraft weight,"calculate total weight of aircraft
perform aircraft weight calculation activities
calculate aircraft weight
determine weight of aircraft
calculate weight of aircraft
determine aircraft weight
perform calculations to determine weight of aircraft
conclude weight of aircraft
work out the total weight of an aircraft
calculations to determine weight of aircraft",skill/competence
test medical devices,"check medical devices
test a medical device
testing medical devices
test medical devices
try medical devices
evaluate medical devices
testing a medical device
medical devices",skill/competence
distribute local information materials,"distribute local information materials
circulate promotional touristic leaflets
distribute materials on local information
hand out local information brochures
distribute local informative materials",skill/competence
collaborate with animal related professionals,"work together with veterinary professionals
collaborate with animal related professionals
communicate with other veterinary professionals
work in a team in the veterinary sector
work in teams in veterinary sector
work together with animal-related professionals
collaborate with veterinary professionals
collaborate with animal-related professionals",skill/competence
optical equipment standards,"regulations for optical equipment
optical equipment standards
standards relating to optical equipment
regulations relating to optical equipment
standards for optical equipment
international optical equipment regulations
standards covering optical equipment
national optical equipment standards
international optical equipment standards
national optical equipment regulations
regulations covering optical equipment",knowledge
livestock reproduction,"methods in livestock reproduction
techniques in livestock breeding
methods in livestock breeding
legislation in livestock breeding
livestock reproduction
procedures in livestock reproduction
techniques in livestock reproduction
legislation in livestock reproduction
procedures in livestock breeding",knowledge
manage feedback,"handle personal feedback
accept feedback
manage feedback
managing feedback
receive feedback
personal feedback",skill/competence
test cigars,"smoking cigars
puff cigars
smoke a cigar
smoke cigars
smoking cigar
light cigars",skill/competence
be a role model in community arts,"be a role model in community arts
be a person who is looked up to in the community arts
act as a role model in community arts
be a community arts' role model",skill/competence
produce statistical financial records,"administer statistical financial records
producing a statistical financial records
producing statistical financial records
provide statistical financial records
create statistical financial records
produce statistical financial records
produce a statistical financial record
complete statistical financial records
statistical financial records",skill/competence
understand written Armenian,"interpret written Armenian
understand written Armenian
make sense of written Armenian
read Armenian
comprehend written Armenian
understand Armenian writing
understanding written Armenian
sense of written armenian",skill/competence
calculate materials to build equipment,"calculate materials
forecast components: work out material needs
determine components
adjust materials
forecast materials: work out material needs
determine materials
adjust components",skill/competence
combine business technology with user experience,"combining business technology and user experience
combine sector technology with user experience
combine industry technology with user experience
combine business technology with user experience",skill/competence
provide periodontal treatment,"manage gum conditions and diseases
provide dental gum treatments
provide periodontal treatments
provide periodontal treatment
provide gum treatment
offer periodontal treatment
periodontal treatment
gum conditions and diseases
dental gum treatments
periodontal treatments
gum treatment",skill/competence
prepare roofing materials,"prepare roofing materials
roof materials selection
preparation of roofing materials
select roof materials
preparing roofing materials
prepare materials for roofing
selection of materials for roofing
roofing materials preparation
preparation of materials for roofing
selection of roof materials
selecting roof materials
roofing materials
materials for roofing",skill/competence
preventive medicine,"measures for disease prevention
medical disease prevention
preventive medicine
disease prevention in medicine
measures for prevention of diseases
preventative medicine",knowledge
plan marketing strategy,"plan marketing strategies
arrange marketing strategy
organise marketing strategy
planning a marketing strategy
plan a marketing strategy
plan marketing strategy
project marketing strategy
design marketing strategy",skill/competence
labour legislation,"employment law
employment legislation
labor  legislation
legislation on labour",knowledge
respond to individuals' extreme emotions,"respond appropriately to individuals' extreme emotions
deal with individuals' extreme emotions
handle individuals' extreme emotions
respond to individuals' extreme emotions
individuals' extreme emotions",skill/competence
promote political campaign,"endorse political campaign
promote political campaign
endorse political crusade
encourage political campaign
boost political campaign
advocate political campaign
boost political crusade
encourage political crusade
advocate political crusade",skill/competence
maintain a production book,"keep a production book
maintain a production book
produce a production book
maintain a book of the production
production book
book of the production",skill/competence
test pyrotechnical effects,"verify pyrotechnics' effects
test pyrotechnics' effects
test pyrotechnical effects
check fireworks' visual effects
test effects of pyrotechnics",skill/competence
develop new food products,"developing new food products
evaluate new food products
launch new food products
produce new food products
develop a new food product
establish new food products
develop new food products
new food products
new food product",skill/competence
swaging machine types,"swaging machine brands
swaging machine categories
forge metal alteration machine  brands
forge metal alteration machine  varieties
swaging machine varieties
forge metal alteration machine  formats
swaging machine formats
swaging machine types
forge metal alteration machine  categories",knowledge
public service concession,"public utility compromise
public utility accord
public utility  concordat
public service compromise
public service concession
public utility arrangement
public service  concordat
public service arrangement
public service accord",knowledge
buttonholing,"techniques and procedures for making buttonholes
buttonholing techniques and procedures
buttonholing for wearing apparel
wearing apparel buttonholing
techniques and procedures for buttonholing
buttonholing",knowledge
prepare railway technical studies,"review technical studies of railway systems
review studies of railway systems
perform technical analyses of railway systems
prepare railway technical studies
analyse technical aspects of railway systems
prepare technical railway studies
develop technical railway studies
develop technical studies of railway systems
make technical assessments of railway systems
prepare technical studies of railway systems
undertake technical studies of railway systems
develop railway technical studies
railway technical studies
technical railway studies",skill/competence
delegate emergency care,"entrust other staff in emergency department with patient care
delegate emergency care patients
delegate care in emergency department
delegate emergency care
transfer emergency care patient
efficiently delegate emergency care",skill/competence
acoustical engineering,"engineering for acoustics
acoustical engineering research
acoustical engineering work
acoustical engineering fieldwork
acoustical engineering applications
acoustical engineering
acoustical engineering analysis
acoustic engineering
acoustical engineering studies
acoustical engineering analyses",knowledge
prescribe psychotherapeutic treatment,"administer psychotherapeutic medication
prescribe psychotherapeutic medication
prescribe psychotherapeutic treatment
prescribe psycho-therapeutic treatment
prescribe psychotherapeutic treatments
direct psychotherapeutic treatments
psychotherapeutic medication
psychotherapeutic treatments",skill/competence
prepare ground for construction,"preparing building site
building site preparing
ground preparing for construction
construction site preparing
prepare construction site
preparing ground for construction
prepare ground for construction
prepare building site
preparing construction site
ground for construction
building site
site preparing
construction site",skill/competence
conduct engineering site audits,"engineering site audits performing
engineering site audit conducting
engineering site audits conducting
conducting engineering site audits
performing engineering site audits
engineering site audit performing
conduct engineering site audits
engineering site audits",skill/competence
manage studio resourcing,"supervise studio resourcing
direct studio resourcing
manage studio resourcing's
run studio resourcing
manage studio resourcing
managing studio resourcing
oversee studio resourcing
studio resourcing
studio resourcing's",skill/competence
assist guest departure,"assist guest departure
assist departure guests
help clients with their check-out procedures
process guests' check-out
assist guests with their departure
guests' check-out",skill/competence
digital printing,"digital printings
electronic printing
digital printing",knowledge
osteology,"study of skeletal elements
field of osteology
study of bones
study of the structure of bones
science of osteology
practice of osteology
osteology",knowledge
assist with geophysical surveys,"work on geophysical surveys
geophysical surveys assistance
helping with geophysical surveys
helping in geophysical surveys
assisting with geophysical surveys
help with geophysical surveys
assistance with geophysical surveys
help in geophysical surveys
work in geophysical surveys
assistance in geophysical surveys
assist with geophysical surveys
assisting in geophysical surveys
geophysical survey assistance",skill/competence
provide legal advice on investments,"provide legal counsel on investments
provide legal investment advice
providing legal advice on investments
provide legal advice on investment
provide legal advice on investments
legal advice on investments
legal counsel on investments
legal investment advice
legal advice on investment",skill/competence
create import-export commercial documentation,"ensure completion of required import-export documentation
create commercial import-export documentation
ensure completion of documentation required for import-export activities
write import-export commercial documentation
complete documentation required for import-export activities
produce commercial import-export documentation
write commercial import-export documentation
produce import-export commercial documentation
create import-export commercial documentation
complete official documents required for import-export activities
import-export commercial documentation
completion of required import-export documentation
commercial import-export documentation",skill/competence
set production KPI,"set a production KPI
prepare production KPI
arrange production KPI
agree production KPI
set production KPI's
develop production KPI
set production KPI
production kpi",skill/competence
renal diseases,"renal disease
kidney diseases
renal diseases
nephrology",knowledge
prepare audit activities,prepare audit activities,skill/competence
types of sanders,"type of sander
varieties of sanders
categories of sanders
types of sanders
kinds of sanders
sorts of sanders",knowledge
conduct patch testing,"conduct patch testing
conduct patch-testing
apply patch testing
perform patch testing
conduct patch testings
carry out patch testing
patch testing
patch testings",skill/competence
provide high-end driving services,"operate private driver services
provide customers with high-end driving services
provide top-end driving services
provide luxury driving services
supply high-end driving services
provide high-end driving services
drive vehicles such as taxis and limousines for high-end services
operate chauffeur services
provide professional driver services",skill/competence
assemble tent constructions,"assembling tent constructions
build tent constructions
erect tent constructions
assemble tents
assemble tent constructions
put up tent constructions
tent constructions",skill/competence
types of waxes,"types of waxes
types of a wax
wax types
categories of waxes
types of wax
varieties of waxes
brands of waxes
variations of waxes",knowledge
educate on the prevention of illness,"educate on the prevention of diseases and infections
educate on the prevention of illness
educate on the prevention of illnesses
educate on illness-prevention
prevent diseases and infections
give advice on the prevention of illness
give advice on the prevention of diseases and infections
advise on the prevention of illness
educate on illnesses-prevention
advise on the prevention of diseases and infections",skill/competence
respect data protection principles,"follow data protection principles
respect protection of data principles
comply with data protection regulations
respect principles for data protection
respect data protection principles",skill/competence
mount photos,"frame photographs
mount photographs
mounting photos
frame photos
mount photos",skill/competence
negotiate with key stakeholders in the automotive retail sector,"negotiate with key automotive retail stakeholders
undertake negotiations with automotive retail stakeholders
negotiate with key stakeholders in the automotive retail business
conduct negotiations with key stakeholders in automotive retail
negotiate with key stakeholders in the automotive retail sector
undertake negotiations with key automotive retail industry stakeholders
conduct negotiations with key automotive retail stakeholders
negotiate with key automotive retail business stakeholders
negotiate with key automotive retail sector stakeholders
negotiate with key stakeholders in automotive retail
negotiations with key stakeholders in automotive retail
negotiations with key automotive retail stakeholders",skill/competence
distinguish accessories,"evaluate accessories and their differences
distinguish accessories
evaluate accessories and their application
differentiate accessories
distinguish accessories and their application
distinguish differences in accessories
accessories and their differences
accessories and their application",skill/competence
